Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
63,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
69,name declaration_list,[3194],FOUND,2
76,{ declaration_list_repeat1 },[1965],FOUND,2
82,public,[1617],FOUND,1
89,static,"[1517, 1597, 1593, 960]",FOUND,4
96,function name formal_parameters compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,2
105,name formal_parameters compound_statement,[2652],FOUND,2
108,( ),[2994],FOUND,1
109,),[969],FOUND,1
115,{ program_repeat1 },"[2193, 1873]",FOUND,2
125,self,[88],FOUND,15
129,:: _member_name arguments,"[2556, 3132, 3271]",FOUND,1
131,name,[1898],FOUND,1
135,( ),"[1178, 1284, 1336, 1407, 1495, 2314, 3271, 2828]",FOUND,10
136,),[191],FOUND,3
137,;,"[871, 875, 888, 887, 1336, 1407, 1495, 2795, 2314, 3271]",FOUND,1
143,},"[573, 645, 574, 572, 75]",FOUND,1
150,public,"[669, 1697, 1757, 1755, 1614]",FOUND,1
157,static,"[1517, 1597, 1593, 960]",FOUND,4
164,function name formal_parameters compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,2
173,name formal_parameters compound_statement,[2652],FOUND,2
177,( ),[2994],FOUND,1
178,),[969],FOUND,1
184,{ program_repeat1 },"[2193, 1873]",FOUND,2
194,self,[88],FOUND,15
198,:: _member_name arguments,"[2556, 3132, 3271]",FOUND,1
200,name,[1898],FOUND,1
205,( ),"[1178, 1284, 1336, 1407, 1495, 2314, 3271, 2828]",FOUND,10
206,),[191],FOUND,3
207,;,"[871, 875, 888, 887, 1336, 1407, 1495, 2795, 2314, 3271]",FOUND,1
213,},"[573, 645, 574, 572, 75]",FOUND,1
220,public,"[669, 1697, 1757, 1755, 1611, 1614]",FOUND,2
227,static,"[1517, 1597, 1593, 960]",FOUND,4
234,function name formal_parameters compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,2
243,name formal_parameters compound_statement,[2652],FOUND,2
247,( ),[2994],FOUND,1
248,),[969],FOUND,1
254,{ program_repeat1 },"[2193, 1873]",FOUND,2
264,self,[88],FOUND,15
268,:: _member_name arguments,"[2556, 3132, 3271]",FOUND,1
270,name,[1898],FOUND,1
275,( ),"[1178, 1284, 1336, 1407, 1495, 2314, 3271, 2828]",FOUND,10
276,),[191],FOUND,3
277,;,"[871, 875, 888, 887, 1336, 1407, 1495, 2795, 2314, 3271]",FOUND,1
283,},"[573, 645, 574, 572, 75]",FOUND,1
289,declaration_list_repeat1,"[669, 1697, 1757, 1755, 1611, 1614]",FOUND,1
310,public,"[669, 1697, 1757, 1755, 1611, 1614]",FOUND,2
317,static,"[1517, 1597, 1593, 960]",FOUND,4
324,function name formal_parameters _return_type compound_statement,"[1569, 1597, 1593, 1328, 960]",FOUND,1
333,name formal_parameters _return_type compound_statement,[2652],FOUND,1
337,( ),[2994],FOUND,1
338,),[969],FOUND,1
339,: type,"[2193, 1873]",FOUND,1
341,primitive_type_token6,[1590],FOUND,1
350,{ program_repeat1 },"[2079, 2087, 1807, 2656, 2142, 2765]",FOUND,1
360,try compound_statement try_statement_repeat1,"[2765, 2656, 2142, 88]",FOUND,23
364,{ program_repeat1 },"[2765, 2656, 2142, 3000]",FOUND,1
378,$ name,"[2765, 2656, 2142, 83]",FOUND,2
379,name,"[2765, 2656, 2142, 1997]",FOUND,1
382,= expression,"[2765, 2656, 2142, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,2
384,name,"[2765, 2656, 2142, 311]",FOUND,2
