Location,Ground_Truth,State_List,Coverage_Result,Rank
7,declare ( declare_directive ) _semicolon,"[82, 3155]",FOUND,1
14,( declare_directive ) _semicolon,[3358],FOUND,1
15,strict_types = literal,[2251],FOUND,1
27,= literal,[3334],FOUND,1
28,integer,[1667],FOUND,1
29,) _semicolon,"[1278, 3078, 3226]",FOUND,1
30,;,[39],FOUND,1
33,namespace namespace_name _semicolon,"[672, 675, 574, 572, 157, 3155]",FOUND,4
43,name namespace_name_repeat1,[2219],FOUND,1
47,\ name,"[2168, 2171]",FOUND,2
48,name,[3072],FOUND,1
52,\ name,"[2351, 2157, 2171]",FOUND,2
53,name,[3072],FOUND,1
60,;,"[2351, 2118, 2157, 2171]",FOUND,1
62,program_repeat1,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,1
83,class name declaration_list,"[573, 652, 574, 572, 2, 157, 3155]",FOUND,10
89,name declaration_list,[3194],FOUND,2
99,{ declaration_list_repeat1 },[1965],FOUND,2
105,public,[1617],FOUND,1
112,name,"[1517, 1597, 1593, 960]",FOUND,7
122,$ name,"[1773, 1820, 1791, 2655, 1951, 3243]",FOUND,1
123,name,"[1951, 2655, 3250]",FOUND,1
132,;,"[1951, 2655, 872, 2123, 1919]",FOUND,2
139,public,"[1951, 2655, 573, 1754, 1757, 1755, 1614]",FOUND,1
146,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
155,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
166,( ),"[1951, 2655, 2994]",FOUND,1
167,),"[1951, 2655, 969]",FOUND,1
173,{ program_repeat1 },"[1951, 2655, 2193, 1873]",FOUND,2
183,$ name,"[1951, 2655, 88]",FOUND,1
184,name,"[1951, 2655, 1997]",FOUND,1
188,-> _member_name,"[1951, 2655, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
190,name,"[1951, 2655, 1913]",FOUND,1
200,= expression,"[1951, 2655, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
202,new _class_name_reference arguments,"[1951, 2655, 311]",FOUND,4
206,name,"[1951, 2655, 1258]",FOUND,1
215,( ),"[1951, 2655, 1250, 1293, 1294, 1340, 1347, 1336, 1407, 1363, 1348, 1495, 3122]",FOUND,10
216,),"[1951, 2655, 194]",FOUND,4
217,;,"[1951, 2655, 1196, 1181, 1184, 1347, 1336, 1407, 1363, 1348, 1495, 2795, 2314, 3271]",FOUND,1
223,},"[1951, 2655, 573, 645, 574, 572, 75]",FOUND,1
230,public,"[1951, 2655, 669, 1697, 1757, 1755, 1611, 1614]",FOUND,2
237,function name formal_parameters compound_statement,"[1951, 2655, 1517, 1597, 1593, 960]",FOUND,2
246,name formal_parameters compound_statement,"[1951, 2655, 2652]",FOUND,2
253,( ),"[1951, 2655, 2994]",FOUND,1
254,),"[1951, 2655, 969]",FOUND,1
260,{ program_repeat1 },"[1951, 2655, 2193, 1873]",FOUND,2
271,program_repeat1 },"[1951, 2655, 88]",FOUND,4
316,program_repeat1 },"[1951, 2655, 88]",FOUND,4
361,program_repeat1 },"[1951, 2655, 88]",FOUND,4
390,$ name,"[1951, 2655, 88]",FOUND,1
391,name,"[1951, 2655, 1997]",FOUND,1
395,-> _member_name,"[1951, 2655, 872, 890, 881, 916, 1336, 1407, 1495, 2314, 3271, 887, 2795]",FOUND,5
397,name,"[1951, 2655, 1913]",FOUND,1
407,= expression,"[1951, 2655, 877, 868, 897, 1336, 1407, 1495, 2314, 3271]",FOUND,6
409,clone primary_expression,"[1951, 2655, 311]",FOUND,25
415,$ name,"[1951, 2655, 677]",FOUND,1
416,name,"[1951, 2655, 1945]",FOUND,2
420,-> _member_name,"[1951, 2655, 1117, 1114, 1115, 1154, 1352, 1336, 1407, 1363, 1348, 1495, 2252, 3123, 1134, 2934]",FOUND,22
422,name,"[1951, 2655, 1916]",FOUND,2
431,;,"[1951, 2655, 1122, 1106, 1136, 1352, 1336, 1407, 1363, 1348, 1495, 2252, 3123]",FOUND,1
437,},"[1951, 2655, 573, 645, 574, 572, 75]",FOUND,1
439,},"[1951, 2655, 669, 1697, 1757, 1755, 1611, 1614]",FOUND,6
