Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",2
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,18",preproc_include_token2,[1816],1
"4,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"4,10",system_lib_string preproc_include_token2,[1392],1
"4,19",preproc_include_token2,[1816],1
"6,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",7
"6,9",identifier preproc_arg preproc_include_token2,[1879],1
"6,17",preproc_arg preproc_include_token2,[1528],1
"6,20",preproc_include_token2,[1877],1
"8,1",primitive_type,"[341, 43, 44, 1820]",2
"8,5",identifier,"[739, 796, 1128]",1
"8,13",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"8,14",primitive_type,[624],1
"8,19",identifier,"[739, 720, 1118, 1598]",2
"8,23",[ ],"[1300, 1321, 1598]",5
"8,24",],[420],3
"8,25",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"8,27",primitive_type,[649],1
"8,31",identifier,"[739, 720, 1118, 1748, 1601]",2
"8,34",),"[1300, 1321, 1748, 1601]",1
"8,35",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,5",identifier,"[739, 796, 1128]",1
"9,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"9,10",primitive_type,[624],1
"9,15",identifier,"[739, 720, 1118, 1598]",2
"9,18",[ ],"[1300, 1321, 1598]",5
"9,19",],[420],3
"9,20",),"[1297, 1300, 1321, 1598]",2
"9,21",;,"[1290, 1260, 1511, 1458, 1300, 1356]",4
"11,1",primitive_type,"[225, 43, 44, 1820]",2
"11,5",identifier,"[739, 796, 1128]",1
"11,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"11,10",primitive_type,[624],1
"11,14",),"[739, 720, 1118, 1598]",4
"12,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"13,3",primitive_type,[23],2
"13,8",identifier,"[739, 801, 1139]",1
"13,11",[ expression ],"[1363, 1455, 1361]",3
"13,12",identifier,[420],1
"13,19",],"[827, 1071]",1
"13,20",;,"[1303, 1363, 1455, 1361]",1
"15,3",identifier,"[220, 25]",1
"15,11",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"15,12",identifier,"[988, 1256, 451]",1
"15,15",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",2
"15,17",identifier,[476],1
"15,24",),"[715, 1025, 1572]",1
"15,25",;,"[698, 668, 837, 1056]",1
"17,3",identifier,"[248, 244, 31, 25]",1
"17,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",5
"17,10",""" string_content ""","[988, 1256, 451]",3
"17,11","string_content """,[1531],1
"17,13","""",[1547],1
"17,14",", expression","[627, 663, 684, 1018]",2
"17,16",identifier,[476],1
"17,20",( expression ),"[715, 1025, 1572]",4
"17,21",identifier,[451],1
"17,24",),"[715, 1018]",1
"17,25",),"[693, 668, 837, 1025, 1572]",1
