Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"5,1",primitive_type,"[361, 43, 44, 1820]",2
"5,6",identifier,"[739, 796, 1128]",1
"5,15",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"5,16",const,[624],4
"5,22",primitive_type,"[711, 695]",1
"5,27",* _declarator,"[739, 719, 1118, 1598]",1
"5,28",identifier,"[788, 1443, 1393, 1598]",1
"5,34",", variadic_parameter","[1300, 1366, 1321, 1598]",9
"5,36",...,[649],5
"5,39",),"[1732, 1748, 1601]",1
"5,40",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"7,1",primitive_type,"[225, 43, 44, 1820]",2
"7,5",identifier,"[739, 796, 1128]",1
"7,9",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"7,10",primitive_type,[624],1
"7,14",identifier,"[739, 720, 1118, 1598]",2
"7,18",", parameter_declaration","[1300, 1321, 1598]",1
"7,20",primitive_type,[649],1
"7,25",* _declarator,"[739, 720, 1118, 1748, 1601]",1
"7,26",identifier,"[788, 1443, 1393, 1748, 1601]",1
"7,30",[ ],"[1300, 1366, 1321, 1748, 1601]",8
"7,31",],[420],2
"7,32",),"[1297, 1300, 1366, 1321, 1748, 1601]",2
"8,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"9,3",primitive_type,[23],2
"9,7",identifier,"[739, 801, 1139]",1
"9,8",;,"[1363, 1455, 1361]",1
"10,3",identifier,"[220, 25]",3
"10,12",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"10,13",""" string_literal_repeat1 ""","[988, 1256, 451]",5
"10,14",string_content escape_sequence,[1531],2
"10,85",escape_sequence,[1547],2
"10,87","""","[1554, 1547]",1
"10,88",", expression","[627, 663, 684, 1018]",1
"11,13",number_literal,[476],2
"11,14",", expression","[684, 1025, 1572]",2
"11,16",number_literal,[476],2
"11,17",", expression","[684, 1025, 1668, 1572]",2
"11,19",number_literal,[476],2
"11,20",", expression","[684, 1025, 1668, 1572]",2
"11,22",number_literal,[476],2
"11,24",", expression","[684, 1025, 1668, 1572]",2
"11,26",number_literal,[476],2
"11,28",", expression","[684, 1025, 1668, 1572]",2
"11,30",number_literal,[476],2
"11,32",", expression","[684, 1025, 1668, 1572]",2
"11,34",number_literal,[476],2
"11,36",", expression","[684, 1025, 1668, 1572]",2
"11,38",number_literal,[476],2
"11,45",", expression","[684, 1025, 1668, 1572]",2
"11,47",number_literal,[476],2
"11,54",", expression","[684, 1025, 1668, 1572]",2
"11,56",number_literal,[476],2
"11,63",", expression","[684, 1025, 1668, 1572]",2
"11,65",number_literal,[476],2
"11,72",", expression","[684, 1025, 1668, 1572]",2
"11,74",number_literal,[476],2
"11,82",", expression","[684, 1025, 1668, 1572]",2
"11,84",& expression,[476],4
"11,85",identifier,[555],1
"11,86",", expression","[625, 692, 837, 1025, 1668, 1572]",2
"11,88",""" string_content """,[476],3
"11,89","string_content """,[1531],1
"11,101","""",[1547],1
"11,102",),"[627, 663, 684, 1025, 1668, 1572]",1
"11,103",;,"[698, 668, 837, 1056]",1
"12,3",return expression ;,"[248, 244, 31, 25]",6
"12,10",identifier,[475],1
"12,22",;,"[715, 1070]",1
"13,1",},"[199, 244, 31, 25]",1
"15,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"15,6",identifier,"[739, 796, 1128]",1
"15,15",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"15,16",const,[624],4
"15,22",primitive_type,"[711, 695]",1
"15,27",* _declarator,"[739, 719, 1118, 1598]",1
"15,28",identifier,"[788, 1443, 1393, 1598]",1
"15,34",", variadic_parameter","[1300, 1366, 1321, 1598]",9
"15,36",...,[649],5
"15,39",),"[1732, 1748, 1601]",1
"17,3",identifier,[23],1
"17,11",identifier,"[405, 801, 1139, 1056]",4
"17,16",;,"[1363, 1455, 1361]",1
"19,3",identifier,"[220, 25]",3
"19,11",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"19,12",identifier,"[988, 1256, 451]",1
"19,17",", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",1
"19,19",identifier,[476],1
"19,25",),"[715, 1025, 1572]",1
"19,26",;,"[698, 668, 837, 1056]",1
"20,8",; expression ; expression,[78],2
"20,10",* expression,[457],3
"20,11",identifier,[555],1
"20,18",!= expression,"[625, 692, 837, 1046]",18
"20,21",' escape_sequence ',[618],5
"20,22",escape_sequence ',[1618],2
"20,24",',[1562],1
"20,25",; expression,"[690, 684, 960, 1046]",3
"20,27",++ expression,"[460, 1922]",4
"20,29",identifier,[540],1
"22,5",if parenthesized_expression statement,[27],3
"22,8",( expression ),[1755],1
"22,9",* expression,[452],3
"22,10",identifier,[555],1
"22,17",!= expression,"[625, 692, 837, 1033]",6
"22,20",' character ',[618],3
"22,21",character ',[1618],1
"22,22",',[1562],1
"22,23",),"[690, 684, 960, 1033]",1
"23,5",{ preproc_if_repeat1 },"[653, 362]",1
"24,7",identifier,[27],1
"24,11",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"24,12",* expression,"[988, 1256, 451]",8
"24,13",identifier,"[949, 555]",1
"24,19",", expression","[1300, 1291, 1442, 625, 692, 837, 1018]",1
"24,21",identifier,[476],1
"24,27",),"[715, 1025, 1572]",1
"24,28",;,"[698, 668, 837, 1056]",1
"25,7",continue ;,"[248, 244, 28]",0
"25,15",;,[1987],1
"26,5",},"[165, 244, 31, 28]",1
"28,12",( expression ),[1721],1
"28,13",* expression,[453],2
"28,14",++ expression,[555],4
"28,16",identifier,[557],1
"28,22",),"[625, 701, 684, 692, 837, 1031]",2
"30,5",case expression :,[27],15
"30,10",' character ',[564],2
"30,11",character ',[1618],1
"30,12",',[1562],1
"30,13",:,"[690, 684, 1076]",3
"31,5",case expression : case_statement_repeat1,"[64, 244, 28]",5
"31,10",' character ',[564],2
"31,11",character ',[1618],1
"31,12",',[1562],1
"31,13",: case_statement_repeat1,"[690, 684, 1076]",1
"32,7",identifier,"[64, 244, 31, 28]",4
"32,13",( expression argument_list_repeat1 ),"[403, 720, 1140, 1056]",2
"32,14",""" string_content ""","[988, 1256, 451]",3
"32,15","string_content """,[1531],1
"32,17","""",[1547],1
"32,18",", expression","[627, 663, 684, 1018]",1
"32,20",identifier,[476],1
"32,26",( expression argument_list_repeat1 ),"[715, 1025, 1572]",5
"32,27",identifier,[451],1
"32,32",", expression","[715, 1018]",1
"32,34",identifier,[476],1
"32,37",),"[715, 1025, 1572]",1
"32,38",),"[698, 668, 837, 1025, 1572]",1
"32,39",;,"[698, 668, 837, 1056]",1
"33,7",break ;,"[248, 52, 244, 31, 28]",6
"33,12",;,[1983],1
"35,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 31, 28]",6
"35,10",' character ',[564],2
"35,11",character ',[1618],1
"35,12",',[1562],1
"35,13",: case_statement_repeat1,"[690, 684, 1076]",1
"36,7",identifier,"[64, 244, 31, 28]",4
"36,13",( expression argument_list_repeat1 ),"[403, 720, 1140, 1056]",2
"36,14",""" string_content ""","[988, 1256, 451]",3
"36,15","string_content """,[1531],1
"36,17","""",[1547],1
"36,18",", expression","[627, 663, 684, 1018]",1
"36,20",identifier,[476],1
"36,26",( expression argument_list_repeat1 ),"[715, 1025, 1572]",5
"36,27",identifier,[451],1
"36,32",", expression","[715, 1018]",1
"36,34",identifier,[476],1
"36,37",),"[715, 1025, 1572]",1
"36,38",),"[698, 668, 837, 1025, 1572]",1
"36,39",;,"[698, 668, 837, 1056]",1
"37,7",break ;,"[248, 52, 244, 31, 28]",6
"37,12",;,[1983],1
"39,5",case expression :,"[164, 55, 52, 244, 31, 28]",8
"39,10",' character ',[564],2
"39,11",character ',[1618],1
"39,12",',[1562],1
"39,13",:,"[690, 684, 1076]",3
"40,5",case expression : case_statement_repeat1,"[64, 244, 31, 28]",5
"40,10",' character ',[564],2
"40,11",character ',[1618],1
"40,12",',[1562],1
"40,13",: case_statement_repeat1,"[690, 684, 1076]",1
"41,7",identifier,"[64, 244, 31, 28]",4
"41,13",( expression argument_list_repeat1 ),"[403, 720, 1140, 1056]",2
"41,14",""" string_content ""","[988, 1256, 451]",3
"41,15","string_content """,[1531],1
"41,17","""",[1547],1
"41,18",", expression","[627, 663, 684, 1018]",1
"41,20",identifier,[476],1
"41,26",( expression argument_list_repeat1 ),"[715, 1025, 1572]",5
"41,27",identifier,[451],1
"41,32",", expression","[715, 1018]",1
"41,34",identifier,[476],1
"41,37",),"[715, 1025, 1572]",1
"41,38",),"[698, 668, 837, 1025, 1572]",1
"41,39",;,"[698, 668, 837, 1056]",1
"42,7",break ;,"[248, 52, 244, 31, 28]",6
"42,12",;,[1983],1
"44,5",case expression : case_statement_repeat1,"[164, 55, 52, 244, 31, 28]",6
"44,10",' character ',[564],2
"44,11",character ',[1618],1
"44,12",',[1562],1
"44,13",: case_statement_repeat1,"[690, 684, 1076]",1
"45,7",identifier,"[64, 244, 31, 28]",4
