Location,Ground_Truth,State_List,Rank
"1,1",#include system_lib_string preproc_include_token2,"[1, 1820]",1
"1,10",system_lib_string preproc_include_token2,[1392],1
"1,19",preproc_include_token2,[1816],1
"2,1",#include system_lib_string preproc_include_token2,"[361, 44, 1820]",3
"2,10",system_lib_string preproc_include_token2,[1392],1
"2,20",preproc_include_token2,[1816],1
"3,1",#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",3
"3,10",system_lib_string preproc_include_token2,[1392],1
"3,20",preproc_include_token2,[1816],1
"5,1",#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",5
"5,9",identifier preproc_arg preproc_include_token2,[1879],1
"5,16",preproc_arg preproc_include_token2,[1528],1
"5,20",preproc_include_token2,[1877],1
"7,1",primitive_type,"[341, 43, 44, 1820]",2
"7,5",identifier,"[739, 796, 1128]",1
"7,8",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"7,9",primitive_type,[624],1
"7,14",identifier,"[739, 720, 1118, 1598]",2
"7,18",[ ],"[1300, 1321, 1598]",7
"7,19",],[420],2
"7,20",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"7,22",primitive_type,[649],1
"7,27",identifier,"[739, 720, 1118, 1748, 1601]",2
"7,31",[ ],"[1300, 1321, 1748, 1601]",7
"7,32",],[420],2
"7,33",),"[1297, 1300, 1321, 1748, 1601]",1
"7,34",;,"[1288, 1260, 1511, 1458, 1300, 1356]",4
"9,1",primitive_type,"[225, 43, 44, 1820]",2
"9,5",identifier,"[739, 796, 1128]",1
"9,9",( parameter_declaration ),"[1363, 1458, 1356]",3
"9,10",primitive_type,[624],1
"9,14",),"[739, 720, 1118, 1598]",4
"10,1",{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",1
"11,3",primitive_type,[23],1
"11,8",identifier,"[739, 801, 1139]",1
"11,12",[ expression ],"[1363, 1455, 1361]",4
"11,13",identifier,[420],3
"11,19",],"[827, 1071]",1
"11,21",= expression,"[1303, 1363, 1455, 1361]",2
"11,23",""" string_content """,[459],7
"11,24","string_content """,[1531],1
"11,33","""",[1547],1
"11,34",;,"[627, 663, 684, 1032, 1592]",1
"12,3",primitive_type,"[221, 25]",6
"12,8",identifier,"[739, 801, 1139]",1
"12,12",[ expression ],"[1363, 1455, 1361]",4
"12,13",identifier,[420],3
"12,19",],"[827, 1071]",1
"12,21",= expression,"[1303, 1363, 1455, 1361]",2
"12,23",""" string_content """,[459],7
"12,24","string_content """,[1531],1
"12,28","""",[1547],1
"12,29",;,"[627, 663, 684, 1032, 1592]",1
"14,9",( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",3
"14,10",""" string_content ""","[988, 1256, 451]",2
"14,11","string_content """,[1531],1
"14,13","""",[1547],1
"14,14",", expression","[627, 663, 684, 1018]",1
"14,16",identifier,[476],1
"14,19",( expression argument_list_repeat1 ),"[715, 1025, 1572]",10
"14,20",identifier,[451],1
"14,24",", expression","[715, 1018]",1
"14,26",identifier,[476],1
"14,30",),"[715, 1025, 1572]",1
"14,31",),"[698, 668, 837, 1025, 1572]",1
"14,32",;,"[698, 668, 837, 1056]",1
"16,3",return expression ;,"[248, 244, 31, 25]",5
"16,10",number_literal,[475],2
"16,11",;,"[684, 1070]",1
"17,1",},"[199, 244, 31, 25]",1
"19,1",primitive_type,"[87, 339, 43, 44, 1820]",2
"19,5",identifier,"[739, 796, 1128]",1
"19,8",( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",2
"19,9",primitive_type,[624],1
"19,14",identifier,"[739, 720, 1118, 1598]",2
"19,18",[ ],"[1300, 1321, 1598]",7
"19,19",],[420],2
"19,20",", parameter_declaration","[1297, 1300, 1321, 1598]",1
"19,22",primitive_type,[649],1
"19,27",identifier,"[739, 720, 1118, 1748, 1601]",2
"19,31",[ ],"[1300, 1321, 1748, 1601]",7
"19,32",],[420],2
"19,33",),"[1297, 1300, 1321, 1748, 1601]",1
"20,1",{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",1
"21,3",primitive_type,[23],1
"21,7",identifier,"[739, 801, 1139]",1
"21,8",", _declaration_declarator","[1363, 1455, 1361]",3
"21,10",identifier,[1148],1
"21,11",;,"[1363, 1477, 1617, 1457]",1
"22,3",for ( _for_statement_body ) statement,"[229, 25]",7
"22,7",( _for_statement_body ) statement,[1970],1
"22,8",identifier = expression,[78],1
"22,10",= expression,"[410, 720, 1151, 1042]",1
"22,12",number_literal,[559],2
"22,13",; expression ; expression,"[684, 982, 1042]",4
"22,15",identifier,[479],1
"22,19",[ expression ],"[715, 1034]",9
"22,20",identifier,[528],1
"22,21",],"[827, 1090]",1
"22,23",!= expression,"[681, 837, 1034]",4
"22,26",' escape_sequence ',[618],5
"22,27",escape_sequence ',[1618],2
"22,29",',[1562],1
"22,30",; expression,"[690, 684, 960, 1034]",1
"22,32",++ expression,"[469, 1922]",4
"22,34",identifier,[540],1
"22,35",) statement,"[715, 701, 684, 1027, 1922]",1
"23,3",{ statement },[333],4
"24,5",for ( _for_statement_body ) statement,[27],13
"24,9",( _for_statement_body ) statement,[1970],1
"24,10",identifier = expression,[78],1
"24,12",= expression,"[410, 720, 1151, 1042]",1
"24,14",number_literal,[559],2
"24,15",; expression ; expression,"[684, 982, 1042]",4
"24,17",identifier,[479],1
"24,21",[ expression ],"[715, 1034]",9
"24,22",identifier,[528],1
"24,23",],"[827, 1090]",1
"24,25",!= expression,"[681, 837, 1034]",4
"24,28",' escape_sequence ',[618],5
"24,29",escape_sequence ',[1618],2
"24,31",',[1562],1
"24,32",; expression,"[690, 684, 960, 1034]",1
"24,34",++ expression,"[469, 1922]",4
"24,36",identifier,[540],1
"24,37",) statement,"[715, 701, 684, 1027, 1922]",1
"25,5",{ statement },[333],4
"26,7",if parenthesized_expression statement,[27],3
"26,10",( expression ),[1755],1
"26,11",identifier,[452],1
"26,15",[ expression ],"[715, 1033]",12
"26,16",identifier,[528],1
"26,17",],"[827, 1090]",1
"26,19",== expression,"[681, 837, 1033]",3
"26,22",identifier,[618],1
"26,26",[ expression ],"[715, 960, 684, 1033]",12
"26,27",identifier,[528],1
"26,28",],"[827, 1090]",1
"26,29",),"[681, 837, 960, 684, 1033]",1
"27,7",{ statement },"[653, 362]",5
"28,9",return expression ;,[27],11
"28,16",identifier,[475],1
"28,17",;,"[715, 1070]",1
"29,7",},"[199, 244, 28]",1
"30,5",},"[173, 244, 147, 28]",1
"31,3",},"[173, 244, 236, 28]",1
"33,3",return expression ;,"[173, 244, 236, 31, 25]",5
"33,10",number_literal,[475],2
"33,12",;,"[684, 1070]",1
"34,1",},"[199, 244, 31, 25]",1
