Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
57,preproc_include_token2,[1816],FOUND,1
59,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
67,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
73,preproc_arg preproc_include_token2,[1528],FOUND,1
76,preproc_include_token2,[1877],FOUND,1
77,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
85,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
92,preproc_arg preproc_include_token2,[1528],FOUND,1
95,preproc_include_token2,[1877],FOUND,1
96,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
104,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
113,preproc_arg preproc_include_token2,[1528],FOUND,1
116,preproc_include_token2,[1877],FOUND,1
117,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
125,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
132,preproc_arg preproc_include_token2,[1528],FOUND,1
135,preproc_include_token2,[1877],FOUND,1
137,primitive_type,"[341, 43, 44, 1820]",FOUND,2
141,identifier,"[739, 796, 1128]",FOUND,1
146,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
147,primitive_type,[624],FOUND,1
151,[ ],"[739, 720, 1118, 1598]",FOUND,11
152,],[419],FOUND,2
153,),"[1459, 1443, 1393, 1598]",FOUND,1
154,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
157,primitive_type,"[225, 43, 44, 1820]",FOUND,2
162,identifier,"[739, 796, 1128]",FOUND,1
166,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
167,primitive_type,[624],FOUND,1
174,identifier,"[739, 720, 1118, 1598]",FOUND,2
175,),"[1300, 1321, 1598]",FOUND,1
176,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
178,primitive_type,"[225, 43, 44, 1820]",FOUND,2
185,identifier,"[739, 796, 1128]",FOUND,1
188,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
189,primitive_type,[624],FOUND,1
193,),"[739, 720, 1118, 1598]",FOUND,3
194,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
196,primitive_type,"[225, 43, 44, 1820]",FOUND,2
201,identifier,"[739, 796, 1128]",FOUND,1
210,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
211,primitive_type,[624],FOUND,1
215,),"[739, 720, 1118, 1598]",FOUND,3
216,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
218,primitive_type,"[225, 43, 44, 1820]",FOUND,2
223,identifier,"[739, 796, 1128]",FOUND,1
232,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
233,primitive_type,[624],FOUND,1
237,),"[739, 720, 1118, 1598]",FOUND,3
238,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
240,primitive_type,"[225, 43, 44, 1820]",FOUND,2
245,identifier,"[739, 796, 1128]",FOUND,1
249,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
250,primitive_type,[624],FOUND,1
254,),"[739, 720, 1118, 1598]",FOUND,3
255,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
257,primitive_type,"[225, 43, 44, 1820]",FOUND,2
262,identifier,"[739, 796, 1128]",FOUND,1
267,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
268,primitive_type,[624],FOUND,1
272,),"[739, 720, 1118, 1598]",FOUND,3
273,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
276,primitive_type,"[225, 43, 44, 1820]",FOUND,2
280,identifier,"[739, 796, 1128]",FOUND,1
284,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
285,primitive_type,[624],FOUND,1
289,),"[739, 720, 1118, 1598]",FOUND,3
291,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
295,primitive_type,[23],FOUND,2
299,identifier,"[739, 801, 1139]",FOUND,1
303,;,"[1363, 1455, 1361]",FOUND,1
307,primitive_type,"[220, 25]",FOUND,6
