Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
37,preproc_include_token2,[1816],FOUND,1
39,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
47,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
54,preproc_arg preproc_include_token2,[1528],FOUND,1
57,preproc_include_token2,[1877],FOUND,1
59,primitive_type,"[341, 43, 44, 1820]",FOUND,2
63,identifier,"[739, 796, 1128]",FOUND,1
71,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
72,primitive_type,[624],FOUND,1
77,identifier,"[739, 720, 1118, 1598]",FOUND,2
81,[ ],"[1300, 1321, 1598]",FOUND,3
82,],[420],FOUND,1
83,", parameter_declaration","[1297, 1300, 1321, 1598]",FOUND,2
85,unsigned primitive_type,[649],FOUND,6
94,primitive_type,"[704, 770, 720, 1118, 1748, 1601]",FOUND,5
98,identifier,"[767, 770, 720, 1118, 1748, 1601]",FOUND,2
110,),"[1300, 1321, 1748, 1601]",FOUND,1
111,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
113,primitive_type,"[225, 43, 44, 1820]",FOUND,2
120,identifier,"[739, 796, 1128]",FOUND,1
124,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
125,primitive_type,[624],FOUND,1
130,identifier,"[739, 720, 1118, 1598]",FOUND,2
131,[ ],"[1300, 1321, 1598]",FOUND,3
132,],[420],FOUND,1
133,),"[1297, 1300, 1321, 1598]",FOUND,1
134,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
137,primitive_type,"[225, 43, 44, 1820]",FOUND,2
141,identifier,"[739, 796, 1128]",FOUND,1
145,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
146,primitive_type,[624],FOUND,1
150,),"[739, 720, 1118, 1598]",FOUND,3
152,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
156,primitive_type,[23],FOUND,2
161,identifier,"[739, 801, 1139]",FOUND,1
165,[ expression ],"[1363, 1455, 1361]",FOUND,4
166,identifier,[420],FOUND,3
172,],"[827, 1071]",FOUND,1
173,;,"[1303, 1363, 1455, 1361]",FOUND,1
178,identifier,"[220, 25]",FOUND,1
186,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
187,identifier,"[988, 1256, 451]",FOUND,1
191,", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,2
193,identifier,[476],FOUND,1
199,),"[715, 1025, 1572]",FOUND,1
200,;,"[698, 668, 837, 1056]",FOUND,1
204,identifier,"[248, 244, 31, 25]",FOUND,1
210,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
211,""" string_content ""","[988, 1256, 451]",FOUND,3
212,"string_content """,[1531],FOUND,1
214,"""",[1547],FOUND,1
215,", expression","[627, 663, 684, 1018]",FOUND,1
217,identifier,[476],FOUND,1
221,),"[715, 1025, 1572]",FOUND,1
222,;,"[698, 668, 837, 1056]",FOUND,1
227,identifier,"[248, 244, 31, 25]",FOUND,1
233,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
234,""" string_content ""","[988, 1256, 451]",FOUND,3
235,"string_content """,[1531],FOUND,1
237,"""",[1547],FOUND,1
238,", expression","[627, 663, 684, 1018]",FOUND,1
240,identifier,[476],FOUND,1
244,( expression ),"[715, 1025, 1572]",FOUND,6
245,identifier,[451],FOUND,1
249,),"[715, 1018]",FOUND,2
250,),"[693, 668, 837, 1025, 1572]",FOUND,1
251,;,"[698, 668, 837, 1056]",FOUND,1
256,return expression ;,"[248, 244, 31, 25]",FOUND,7
263,number_literal,[475],FOUND,2
264,;,"[684, 1070]",FOUND,1
266,},"[199, 244, 31, 25]",FOUND,2
269,primitive_type,"[87, 339, 43, 44, 1820]",FOUND,2
273,identifier,"[739, 796, 1128]",FOUND,1
281,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
282,primitive_type,[624],FOUND,1
287,identifier,"[739, 720, 1118, 1598]",FOUND,2
291,[ ],"[1300, 1321, 1598]",FOUND,3
292,],[420],FOUND,1
293,", parameter_declaration","[1297, 1300, 1321, 1598]",FOUND,2
295,unsigned primitive_type,[649],FOUND,6
