Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
58,preproc_include_token2,[1816],FOUND,1
59,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
68,system_lib_string preproc_include_token2,[1392],FOUND,1
77,preproc_include_token2,[1816],FOUND,1
79,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
87,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
106,preproc_arg preproc_include_token2,[1528],FOUND,1
107,preproc_include_token2,[1877],FOUND,1
109,primitive_type,"[341, 43, 44, 1820]",FOUND,2
113,identifier,"[739, 796, 1128]",FOUND,1
124,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
125,primitive_type,[624],FOUND,1
130,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
131,identifier,"[788, 1443, 1393, 1598]",FOUND,1
134,),"[1300, 1366, 1321, 1598]",FOUND,1
135,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
137,primitive_type,"[225, 43, 44, 1820]",FOUND,2
141,identifier,"[739, 796, 1128]",FOUND,1
167,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
168,primitive_type,[624],FOUND,1
172,identifier,"[739, 720, 1118, 1598]",FOUND,2
176,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
178,primitive_type,[649],FOUND,1
183,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
184,identifier,"[788, 1443, 1393, 1748, 1601]",FOUND,1
188,[ ],"[1300, 1366, 1321, 1748, 1601]",FOUND,3
189,],[420],FOUND,1
190,),"[1297, 1300, 1366, 1321, 1748, 1601]",FOUND,1
191,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
194,primitive_type,"[225, 43, 44, 1820]",FOUND,2
198,identifier,"[739, 796, 1128]",FOUND,1
202,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
203,primitive_type,[624],FOUND,1
207,identifier,"[739, 720, 1118, 1598]",FOUND,2
211,", parameter_declaration","[1300, 1321, 1598]",FOUND,2
213,primitive_type,[649],FOUND,1
218,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
219,identifier,"[788, 1443, 1393, 1748, 1601]",FOUND,1
223,[ ],"[1300, 1366, 1321, 1748, 1601]",FOUND,3
224,],[420],FOUND,1
225,),"[1297, 1300, 1366, 1321, 1748, 1601]",FOUND,1
227,{ preproc_if_repeat1 },"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,1
231,if parenthesized_expression statement,[23],FOUND,4
234,( expression ),[1755],FOUND,1
235,! expression,[452],FOUND,2
236,identifier,[541],FOUND,1
262,( expression argument_list_repeat1 ),"[715, 691, 684, 1033]",FOUND,10
263,identifier,[451],FOUND,1
267,", expression","[715, 1018]",FOUND,1
269,identifier,[476],FOUND,1
273,),"[715, 1025, 1572]",FOUND,1
274,),"[698, 668, 837, 691, 684, 1033]",FOUND,1
278,{ preproc_if_repeat1 },"[653, 362]",FOUND,1
284,identifier,[27],FOUND,1
288,( expression ),"[405, 801, 1139, 1056]",FOUND,5
289,""" string_literal_repeat1 ""","[988, 1256, 451]",FOUND,5
290,string_content escape_sequence,[1531],FOUND,2
319,escape_sequence,[1547],FOUND,2
321,"""","[1554, 1547]",FOUND,1
322,),"[627, 663, 684, 1018]",FOUND,2
323,;,"[693, 668, 837, 1056]",FOUND,1
329,return expression ;,"[248, 244, 28]",FOUND,7
336,identifier,[475],FOUND,1
348,;,"[715, 1070]",FOUND,1
352,},"[199, 244, 31, 28]",FOUND,1
357,primitive_type,"[173, 244, 147, 25]",FOUND,7
361,identifier,"[739, 801, 1139]",FOUND,1
362,;,"[1363, 1455, 1361]",FOUND,1
366,primitive_type,"[220, 31, 25]",FOUND,8
373,identifier,"[739, 801, 1139]",FOUND,1
381,= expression,"[1363, 1455, 1361]",FOUND,2
383,number_literal,[459],FOUND,2
384,;,"[684, 1032, 1592]",FOUND,1
388,primitive_type,"[221, 31, 25]",FOUND,8
395,identifier,"[739, 801, 1139]",FOUND,1
404,= expression,"[1363, 1455, 1361]",FOUND,2
