Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
39,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
48,system_lib_string preproc_include_token2,[1392],FOUND,1
58,preproc_include_token2,[1816],FOUND,1
59,#include system_lib_string preproc_include_token2,"[361, 43, 44, 1820]",FOUND,3
68,system_lib_string preproc_include_token2,[1392],FOUND,1
77,preproc_include_token2,[1816],FOUND,1
79,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
87,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
97,preproc_arg preproc_include_token2,[1528],FOUND,1
100,preproc_include_token2,[1877],FOUND,1
102,enum identifier enumerator_list,"[341, 43, 44, 1820]",FOUND,44
107,identifier enumerator_list,[1674],FOUND,3
115,{ enumerator_list_repeat1 enumerator },"[824, 770, 796, 1128]",FOUND,5
119,identifier,[1296],FOUND,2
124,",","[1640, 1718]",FOUND,2
128,identifier,"[1485, 1308]",FOUND,1
133,},"[1640, 1734]",FOUND,3
134,;,"[771, 874, 770, 796, 1128]",FOUND,3
137,struct identifier field_declaration_list,"[330, 43, 44, 1820]",FOUND,19
144,identifier field_declaration_list,[1408],FOUND,2
154,{ preproc_if_in_field_declaration_list_repeat1 },"[703, 770, 796, 1128]",FOUND,4
158,primitive_type,[447],FOUND,1
163,* _field_declarator,"[739, 720, 1275]",FOUND,3
164,identifier,[953],FOUND,1
168,;,"[1378, 1318, 1382, 1304, 1536]",FOUND,1
172,primitive_type,"[880, 450]",FOUND,1
177,* _field_declarator,"[739, 720, 1275]",FOUND,3
178,identifier,[953],FOUND,1
188,;,"[1378, 1318, 1382, 1304, 1536]",FOUND,1
192,struct identifier,"[880, 445, 450]",FOUND,6
199,identifier,[1408],FOUND,1
209,* _field_declarator,"[703, 770, 720, 1275]",FOUND,3
210,identifier,[953],FOUND,1
214,;,"[1378, 1318, 1382, 1304, 1536]",FOUND,1
216,},"[880, 445, 450]",FOUND,2
217,;,"[774, 728, 770, 796, 1128]",FOUND,3
219,declaration,"[330, 43, 44, 1820]",FOUND,10
291,primitive_type,"[330, 43, 44, 1820]",FOUND,2
296,* _declarator,"[739, 796, 1128]",FOUND,2
297,identifier,[949],FOUND,1
304,( parameter_declaration ),"[1300, 1291, 1363, 1458, 1356]",FOUND,2
305,primitive_type,[623],FOUND,1
310,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
311,identifier,"[788, 1443, 1393, 1598]",FOUND,1
314,),"[1300, 1366, 1321, 1598]",FOUND,1
315,;,"[1290, 1254, 1300, 1291, 1363, 1458, 1356]",FOUND,4
318,primitive_type,"[225, 43, 44, 1820]",FOUND,2
325,identifier,"[739, 796, 1128]",FOUND,1
329,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
330,primitive_type,[624],FOUND,1
335,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
336,identifier,"[788, 1443, 1393, 1598]",FOUND,1
339,),"[1300, 1366, 1321, 1598]",FOUND,1
340,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
342,struct identifier,"[225, 43, 44, 1820]",FOUND,18
349,identifier,[1408],FOUND,1
359,* _declarator,"[703, 770, 796, 1128]",FOUND,2
360,identifier,[949],FOUND,1
366,( parameter_declaration ),"[1300, 1291, 1363, 1458, 1356]",FOUND,2
367,primitive_type,[623],FOUND,1
372,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
373,identifier,"[788, 1443, 1393, 1598]",FOUND,1
376,),"[1300, 1366, 1321, 1598]",FOUND,1
377,;,"[1290, 1254, 1300, 1291, 1363, 1458, 1356]",FOUND,4
379,struct identifier,"[225, 43, 44, 1820]",FOUND,18
386,identifier,[1408],FOUND,1
396,* _declarator,"[703, 770, 796, 1128]",FOUND,2
397,identifier,[949],FOUND,1
404,( parameter_declaration parameter_list_repeat1 ),"[1300, 1291, 1363, 1458, 1356]",FOUND,3
405,primitive_type,[623],FOUND,1
410,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
411,identifier,"[788, 1443, 1393, 1598]",FOUND,1
415,", parameter_declaration","[1300, 1366, 1321, 1598]",FOUND,2
417,primitive_type,[649],FOUND,1
422,* _declarator,"[739, 720, 1118, 1748, 1601]",FOUND,1
