Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
22,#define identifier preproc_arg preproc_include_token2,"[361, 44, 1820]",FOUND,6
30,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
37,preproc_arg preproc_include_token2,[1528],FOUND,1
41,preproc_include_token2,[1877],FOUND,1
44,primitive_type,"[341, 43, 44, 1820]",FOUND,2
49,identifier,"[739, 796, 1128]",FOUND,1
56,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
57,primitive_type,[624],FOUND,1
62,identifier,"[739, 720, 1118, 1598]",FOUND,2
65,[ ],"[1300, 1321, 1598]",FOUND,3
66,],[420],FOUND,1
67,),"[1297, 1300, 1321, 1598]",FOUND,1
68,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
73,primitive_type,"[225, 43, 44, 1820]",FOUND,2
77,identifier,"[739, 796, 1128]",FOUND,1
81,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
82,primitive_type,[624],FOUND,1
86,),"[739, 720, 1118, 1598]",FOUND,3
89,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
94,primitive_type,[23],FOUND,2
99,identifier,"[739, 801, 1139]",FOUND,1
102,[ expression ],"[1363, 1455, 1361]",FOUND,4
103,identifier,[420],FOUND,3
109,],"[827, 1071]",FOUND,1
111,= expression,"[1303, 1363, 1455, 1361]",FOUND,2
113,""" string_content """,[459],FOUND,5
114,"string_content """,[1531],FOUND,1
135,"""",[1547],FOUND,1
136,;,"[627, 663, 684, 1032, 1592]",FOUND,1
143,identifier,"[221, 25]",FOUND,1
149,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
150,""" string_literal_repeat1 ""","[988, 1256, 451]",FOUND,5
151,string_content escape_sequence,[1531],FOUND,2
153,escape_sequence,[1547],FOUND,2
155,"""","[1554, 1547]",FOUND,1
156,", expression","[627, 663, 684, 1018]",FOUND,1
158,identifier,[476],FOUND,1
161,),"[715, 1025, 1572]",FOUND,1
162,;,"[698, 668, 837, 1056]",FOUND,1
167,identifier,"[248, 244, 31, 25]",FOUND,1
174,( expression ),"[405, 801, 1139, 1056]",FOUND,5
175,identifier,"[988, 1256, 451]",FOUND,1
178,),"[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,1
179,;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",FOUND,1
184,identifier,"[248, 244, 31, 25, 310, 220]",FOUND,1
190,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
191,""" string_literal_repeat1 ""","[988, 1256, 451]",FOUND,5
192,string_content escape_sequence,[1531],FOUND,2
194,escape_sequence,[1547],FOUND,2
196,"""","[1554, 1547]",FOUND,1
197,", expression","[627, 663, 684, 1018]",FOUND,1
199,identifier,[476],FOUND,1
202,),"[715, 1025, 1572]",FOUND,1
203,;,"[698, 668, 837, 1056]",FOUND,1
210,return expression ;,"[248, 244, 31, 25]",FOUND,7
217,number_literal,[475],FOUND,2
218,;,"[684, 1070]",FOUND,1
221,},"[199, 244, 31, 25]",FOUND,2
226,primitive_type,"[87, 339, 43, 44, 1820]",FOUND,2
231,identifier,"[739, 796, 1128]",FOUND,1
238,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
239,primitive_type,[624],FOUND,1
244,identifier,"[739, 720, 1118, 1598]",FOUND,2
247,[ ],"[1300, 1321, 1598]",FOUND,3
248,],[420],FOUND,1
249,),"[1297, 1300, 1321, 1598]",FOUND,1
252,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
257,static,[23],FOUND,11
264,primitive_type,"[722, 695]",FOUND,1
268,identifier,"[739, 719, 1139]",FOUND,1
270,= expression,"[1363, 1455, 1361]",FOUND,2
272,number_literal,[459],FOUND,2
273,;,"[684, 1032, 1592]",FOUND,1
278,static,"[221, 25]",FOUND,18
285,primitive_type,"[722, 695]",FOUND,1
289,identifier,"[739, 719, 1139]",FOUND,1
291,= expression,"[1363, 1455, 1361]",FOUND,2
293,number_literal,[459],FOUND,2
294,;,"[684, 1032, 1592]",FOUND,1
301,if parenthesized_expression statement,"[221, 31, 25]",FOUND,4
304,( expression ),[1755],FOUND,1
305,identifier,[452],FOUND,1
308,[ expression ],"[715, 1033]",FOUND,8
309,identifier,[528],FOUND,1
310,],"[827, 1090]",FOUND,1
312,!= expression,"[681, 837, 1033]",FOUND,6
