Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
40,primitive_type,"[361, 43, 44, 1820]",FOUND,2
45,identifier,"[739, 796, 1128]",FOUND,1
52,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
53,primitive_type,[624],FOUND,1
58,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
59,identifier,"[788, 1443, 1393, 1598]",FOUND,1
60,),"[1300, 1366, 1321, 1598]",FOUND,1
61,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
63,primitive_type,"[225, 43, 44, 1820]",FOUND,2
68,identifier,"[739, 796, 1128]",FOUND,1
72,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
73,primitive_type,[624],FOUND,1
78,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
79,identifier,"[788, 1443, 1393, 1598]",FOUND,1
80,", parameter_declaration","[1300, 1366, 1321, 1598]",FOUND,2
82,primitive_type,[649],FOUND,1
86,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
87,),"[1300, 1321, 1748, 1601]",FOUND,1
88,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
91,primitive_type,"[225, 43, 44, 1820]",FOUND,2
95,identifier,"[739, 796, 1128]",FOUND,1
99,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
100,primitive_type,[624],FOUND,1
104,),"[739, 720, 1118, 1598]",FOUND,3
106,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
110,primitive_type,[23],FOUND,2
114,identifier,"[739, 801, 1139]",FOUND,1
116,= expression,"[1363, 1455, 1361]",FOUND,2
118,number_literal,[459],FOUND,2
122,;,"[684, 1032, 1592]",FOUND,1
126,primitive_type,"[221, 25]",FOUND,6
131,identifier,"[739, 801, 1139]",FOUND,1
132,[ expression ],"[1363, 1455, 1361]",FOUND,4
133,number_literal,[420],FOUND,2
136,],"[684, 1071]",FOUND,1
138,= expression,"[1303, 1363, 1455, 1361]",FOUND,2
140,""" """,[459],FOUND,16
141,"""",[1531],FOUND,3
142,;,"[636, 663, 684, 1032, 1592]",FOUND,1
147,identifier,"[221, 31, 25]",FOUND,1
151,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
152,identifier,"[988, 1256, 451]",FOUND,1
153,", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,2
155,identifier,[476],FOUND,1
156,),"[715, 1025, 1572]",FOUND,1
157,;,"[698, 668, 837, 1056]",FOUND,1
162,identifier,"[248, 244, 31, 25]",FOUND,1
168,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
169,""" string_literal_repeat1 ""","[988, 1256, 451]",FOUND,5
170,string_content escape_sequence,[1531],FOUND,2
178,escape_sequence,[1547],FOUND,2
180,"""","[1554, 1547]",FOUND,1
181,", expression","[627, 663, 684, 1018]",FOUND,1
183,identifier,[476],FOUND,1
184,),"[715, 1025, 1572]",FOUND,1
185,;,"[698, 668, 837, 1056]",FOUND,1
190,return expression ;,"[248, 244, 31, 25]",FOUND,7
197,number_literal,[475],FOUND,2
198,;,"[684, 1070]",FOUND,1
200,},"[199, 244, 31, 25]",FOUND,2
203,primitive_type,"[87, 339, 43, 44, 1820]",FOUND,2
208,identifier,"[739, 796, 1128]",FOUND,1
215,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
216,primitive_type,[624],FOUND,1
221,* _declarator,"[739, 720, 1118, 1598]",FOUND,1
222,identifier,"[788, 1443, 1393, 1598]",FOUND,1
223,),"[1300, 1366, 1321, 1598]",FOUND,1
225,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
229,primitive_type,[23],FOUND,2
234,* _declarator,"[739, 801, 1139]",FOUND,2
235,identifier,[949],FOUND,1
237,= expression,"[1300, 1291, 1363, 1455, 1361]",FOUND,2
239,identifier,[459],FOUND,1
241,+ expression,"[715, 1032, 1592]",FOUND,8
243,identifier,[533],FOUND,2
249,( expression ),"[715, 975, 684, 1032, 1592]",FOUND,4
250,identifier,[451],FOUND,1
251,),"[715, 1018]",FOUND,2
253,- expression,"[693, 668, 837, 975, 684, 1032, 1592]",FOUND,9
255,number_literal,[533],FOUND,1
