Location,Ground_Truth,State_List,Coverage_Result,Rank
0,#include system_lib_string preproc_include_token2,"[1, 1820]",FOUND,1
9,system_lib_string preproc_include_token2,[1392],FOUND,1
18,preproc_include_token2,[1816],FOUND,1
19,#include system_lib_string preproc_include_token2,"[361, 44, 1820]",FOUND,3
28,system_lib_string preproc_include_token2,[1392],FOUND,1
38,preproc_include_token2,[1816],FOUND,1
40,#define identifier preproc_arg preproc_include_token2,"[361, 43, 44, 1820]",FOUND,8
48,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
55,preproc_arg preproc_include_token2,[1528],FOUND,1
59,preproc_include_token2,[1877],FOUND,1
60,#define identifier preproc_arg preproc_include_token2,"[341, 43, 44, 1820]",FOUND,8
68,identifier preproc_arg preproc_include_token2,[1879],FOUND,1
77,preproc_arg preproc_include_token2,[1528],FOUND,1
81,preproc_include_token2,[1877],FOUND,1
83,primitive_type,"[341, 43, 44, 1820]",FOUND,2
87,identifier,"[739, 796, 1128]",FOUND,1
93,( parameter_declaration parameter_list_repeat1 ),"[1363, 1458, 1356]",FOUND,4
94,primitive_type,[624],FOUND,1
99,identifier,"[739, 720, 1118, 1598]",FOUND,2
103,[ ],"[1300, 1321, 1598]",FOUND,3
104,],[420],FOUND,1
105,", parameter_declaration","[1297, 1300, 1321, 1598]",FOUND,2
107,primitive_type,[649],FOUND,1
111,identifier,"[739, 720, 1118, 1748, 1601]",FOUND,2
116,),"[1300, 1321, 1748, 1601]",FOUND,1
117,;,"[1288, 1260, 1511, 1458, 1300, 1356]",FOUND,3
119,primitive_type,"[225, 43, 44, 1820]",FOUND,2
124,identifier,"[739, 796, 1128]",FOUND,1
132,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
133,primitive_type,[624],FOUND,1
138,identifier,"[739, 720, 1118, 1598]",FOUND,2
142,[ ],"[1300, 1321, 1598]",FOUND,3
143,],[420],FOUND,1
144,),"[1297, 1300, 1321, 1598]",FOUND,1
145,;,"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,3
148,primitive_type,"[225, 43, 44, 1820]",FOUND,2
152,identifier,"[739, 796, 1128]",FOUND,1
156,( parameter_declaration ),"[1363, 1458, 1356]",FOUND,2
157,primitive_type,[624],FOUND,1
161,),"[739, 720, 1118, 1598]",FOUND,3
163,{ preproc_if_repeat1 },"[1290, 1260, 1511, 1458, 1300, 1356]",FOUND,1
167,primitive_type,[23],FOUND,2
172,identifier,"[739, 801, 1139]",FOUND,1
176,[ expression ],"[1363, 1455, 1361]",FOUND,4
177,identifier,[420],FOUND,3
183,],"[827, 1071]",FOUND,1
184,;,"[1303, 1363, 1455, 1361]",FOUND,1
188,primitive_type,"[220, 25]",FOUND,6
193,identifier,"[739, 801, 1139]",FOUND,1
197,[ expression ],"[1363, 1455, 1361]",FOUND,4
198,identifier,[420],FOUND,3
204,],"[827, 1071]",FOUND,1
205,;,"[1303, 1363, 1455, 1361]",FOUND,1
210,identifier,"[220, 31, 25]",FOUND,1
216,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
217,identifier,"[988, 1256, 451]",FOUND,1
221,", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,2
223,identifier,[476],FOUND,1
229,),"[715, 1025, 1572]",FOUND,1
230,;,"[698, 668, 837, 1056]",FOUND,1
234,identifier,"[248, 244, 31, 25]",FOUND,1
240,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
241,""" string_content ""","[988, 1256, 451]",FOUND,3
242,"string_content """,[1531],FOUND,1
244,"""",[1547],FOUND,1
245,", expression","[627, 663, 684, 1018]",FOUND,1
247,identifier,[476],FOUND,1
251,),"[715, 1025, 1572]",FOUND,1
252,;,"[698, 668, 837, 1056]",FOUND,1
257,identifier,"[248, 244, 31, 25]",FOUND,1
265,( expression ),"[405, 801, 1139, 1056]",FOUND,5
266,identifier,"[988, 1256, 451]",FOUND,1
270,),"[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,1
271,;,"[761, 770, 801, 1139, 1301, 1363, 1455, 1361, 693, 668, 837, 1056]",FOUND,1
276,identifier,"[248, 244, 31, 25, 310, 220]",FOUND,1
282,( expression argument_list_repeat1 ),"[405, 801, 1139, 1056]",FOUND,3
283,identifier,"[988, 1256, 451]",FOUND,1
287,", expression","[754, 1077, 1813, 1300, 1442, 715, 1018]",FOUND,2
289,identifier,[476],FOUND,1
295,),"[715, 1025, 1572]",FOUND,1
296,;,"[698, 668, 837, 1056]",FOUND,1
300,identifier,"[248, 244, 31, 25]",FOUND,1
